thermal_source_id,mgrs_tile,last_seen,sentinel_id,sensing_time,scene_date,cloud_cover,date_difference_days,status,file_path,file_size_kb,evidence_available,evidence_quality,satellite_image_path
8315,T43RCP,2026-06-27,S2C_MSIL2A_20260628T054641_N0512_R048_T43RCP_20260628T085710,2026-06-28 05:46:41.025,2026-06-28,0.02,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260628T054641_N0512_R048_T43RCP_20260628T085710.jpg,32.37,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260628T054641_N0512_R048_T43RCP_20260628T085710.jpg
8316,T43RCP,2026-06-25,S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208,2026-06-23 05:46:39.024,2026-06-23,0.02,2.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg,35.12,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg
8317,T43RDP,2026-06-17,S2B_MSIL2A_20260610T053639_N0512_R005_T43RDP_20260610T091702,2026-06-10 05:36:39.024,2026-06-10,0.0,7.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260610T053639_N0512_R005_T43RDP_20260610T091702.jpg,30.71,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260610T053639_N0512_R005_T43RDP_20260610T091702.jpg
8318,T43REP,2026-06-17,S2B_MSIL2A_20260620T053639_N0512_R005_T43REP_20260620T091923,2026-06-20 05:36:39.024,2026-06-20,9.58,3.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260620T053639_N0512_R005_T43REP_20260620T091923.jpg,36.31,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260620T053639_N0512_R005_T43REP_20260620T091923.jpg
8319,T43RCP,2026-07-09,S2C_MSIL2A_20260708T054641_N0512_R048_T43RCP_20260708T085213,2026-07-08 05:46:41.025,2026-07-08,15.92,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260708T054641_N0512_R048_T43RCP_20260708T085213.jpg,29.54,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260708T054641_N0512_R048_T43RCP_20260708T085213.jpg
8320,T43RCP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,7.8,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg,34.24,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg
8321,T43RCP,2026-06-18,S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,7.8,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg,34.24,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg
8322,T43RCP,2026-07-09,S2C_MSIL2A_20260708T054641_N0512_R048_T43RCP_20260708T085213,2026-07-08 05:46:41.025,2026-07-08,15.92,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260708T054641_N0512_R048_T43RCP_20260708T085213.jpg,29.54,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260708T054641_N0512_R048_T43RCP_20260708T085213.jpg
8323,T43RDP,2026-07-04,S2B_MSIL2A_20260630T053639_N0512_R005_T43RDP_20260630T091701,2026-06-30 05:36:39.024,2026-06-30,26.06,4.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260630T053639_N0512_R005_T43RDP_20260630T091701.jpg,30.3,True,GOOD,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260630T053639_N0512_R005_T43RDP_20260630T091701.jpg
8324,T43RCP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,7.8,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg,34.24,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg
8325,T43RCP,2026-06-25,S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208,2026-06-23 05:46:39.024,2026-06-23,0.02,2.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg,35.12,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg
8326,T43RCP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,7.8,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg,34.24,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg
8327,T43RCP,2026-06-21,S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208,2026-06-23 05:46:39.024,2026-06-23,0.02,2.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg,35.12,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg
8328,T43RDP,2026-07-07,S2B_MSIL2A_20260710T053639_N0512_R005_T43RDP_20260710T091511,2026-07-10 05:36:39.024,2026-07-10,26.16,3.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260710T053639_N0512_R005_T43RDP_20260710T091511.jpg,31.39,True,GOOD,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260710T053639_N0512_R005_T43RDP_20260710T091511.jpg
8329,T43RDP,2026-06-17,S2B_MSIL2A_20260610T053639_N0512_R005_T43RDP_20260610T091702,2026-06-10 05:36:39.024,2026-06-10,0.0,7.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260610T053639_N0512_R005_T43RDP_20260610T091702.jpg,30.71,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260610T053639_N0512_R005_T43RDP_20260610T091702.jpg
8330,T43RFP,2026-06-17,S2B_MSIL2A_20260617T052649_N0512_R105_T43RFP_20260617T104156,2026-06-17 05:26:49.024,2026-06-17,0.78,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260617T052649_N0512_R105_T43RFP_20260617T104156.jpg,29.6,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260617T052649_N0512_R105_T43RFP_20260617T104156.jpg
8331,T43RDP,2026-07-09,S2B_MSIL2A_20260710T053639_N0512_R005_T43RDP_20260710T091511,2026-07-10 05:36:39.024,2026-07-10,26.16,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260710T053639_N0512_R005_T43RDP_20260710T091511.jpg,31.39,True,GOOD,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260710T053639_N0512_R005_T43RDP_20260710T091511.jpg
8332,T43RCP,2026-06-23,S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208,2026-06-23 05:46:39.024,2026-06-23,0.02,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg,35.12,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg
